| Programs| URL |
| --- | --- |
|Atlantic| https://www.theatlantic.com/responsible-disclosure-policy |
|VidaXL | https://www.vidaxl.com.au/security|
|PatronTechnology|https://www.patrontechnology.com/security-vulnerability-program|
|coinfinity|https://coinfinity.co/responsible-disclosure/|
|Rozee|https://www.rozee.pk/bug-bounty|
|winni|https://www.winni.in/bug-bounty|
|useblanco|https://www.useblanco.com/responsible-disclosure|
|filepurch|https://filepurch.com/en|
|selz|https://www.ameiqa.com/pages/report-security-issues|
|ameiqa|https://www.ameiqa.com/pages/report-security-issues|
|ekoapp|https://www3.ekoapp.com/en/security/ |
|accredible.com|https://www.accredible.com/white_hat/|
|CoinJar|https://www.coinjar.com/bounty|
|Fair|https://www.fair.com/bug-bounty|
|87Seconds|https://www.87seconds.com/responsible-disclosure/|


